Target,MAE,R2,Directional_Accuracy,Last_Updated
PTS,4.7472,0.4695,74.38,2026-02-19 20:42:24
REB,1.9489,0.4113,71.44,2026-02-19 20:42:26
AST,1.4162,0.4729,72.79,2026-02-19 20:42:27
FG3M,0.9612,0.281,62.25,2026-02-19 20:42:28
FG3A,1.5551,0.5189,75.21,2026-02-19 20:42:29
BLK,0.5668,0.1918,35.02,2026-02-19 20:42:30
STL,0.7676,0.0775,71.15,2026-02-19 20:42:32
TOV,0.9414,0.2605,62.03,2026-02-19 20:42:33
PRA,6.085,0.5239,76.23,2026-02-19 20:42:34
PR,5.6191,0.477,74.78,2026-02-19 20:42:36
PA,5.1866,0.5339,75.49,2026-02-19 20:42:38
RA,2.673,0.4304,73.42,2026-02-19 20:42:39
SB,0.9724,0.1211,52.62,2026-02-19 20:42:40
FGM,1.8283,0.4208,73.63,2026-02-19 20:42:42
FGA,2.7884,0.5763,79.52,2026-02-19 20:42:43
FTM,1.4567,0.3509,61.95,2026-02-19 20:42:44
FTA,1.7471,0.3593,71.47,2026-02-19 20:42:45
