Player,Stat,Line,Side,Win%,AI_Proj,Score
Aaron Wiggins,AST,3.5,Under,53.31,1.45,80.4
Cason Wallace,PA,17.5,Under,53.23,13.01,75.9
Bobby Portis,REB,5.5,Over,51.88,8.29,67.6
Kyle Kuzma,REB,5.5,Over,51.88,7.44,67.6
Myles Turner,REB,5.5,Over,51.88,7.68,67.6
Toumani Camara,PTS,13.5,Over,52.41,19.25,64.1
Jaylin Williams,REB,7.5,Under,51.46,5.86,62.8
Marcus Smart,PR,14.5,Over,51.92,17.59,62.2
Cody Williams,REB,3.5,Under,48.99,2.66,57.5
Jerami Grant,REB,3.5,Over,50.0,4.33,57.5
Deni Avdija,PA,27.5,Over,52.41,31.92,57.0
Max Christie,PA,18.5,Under,51.42,8.76,56.9
Naji Marshall,PR,23.5,Over,51.42,32.64,56.9
Max Christie,PA,18.5,Under,51.42,8.79,56.9
Aaron Wiggins,PA,20.5,Under,51.42,2.82,56.9
Austin Reaves,RA,10.5,Under,48.99,8.22,55.0
Deni Avdija,AST,5.0,Over,44.89,6.67,55.0
Austin Reaves,AST,6.0,Under,43.65,4.17,55.0
Jaylin Williams,RA,12.5,Under,50.0,7.28,55.0
Kyle Kuzma,AST,2.5,Over,50.0,4.54,55.0
